file,sprite,id,kind,tier,upgrades_from,upgrades_to,rarity,status,name_key,name_en,name_ko,effect_ko,effect_en
Crimson Thorn,Icon_GreatSword_Red_Minor,1107,weapon,2,10,1108 1115,,active,WeaponGreatsword_Red_Tier2_Name,Crimson Thorn,심홍의 가시,대상을 공격하여 상처 악화 디버프를 부여합니다.,Attacks the target and inflicts Wound.
Crimson Vortex,Icon_GreatSword_Red,1108,weapon,3,1107,,,active,WeaponGreatsword_Red_Tier3_Name,Crimson Vortex,심홍의 소용돌이,"일반 공격, 대시 공격이 3연타로 변경됩니다. 각 타격의 피해량이 기존 피해량의 40%로 조정됩니다. 상처 악화의 최대 중첩이 6 증가합니다.",Changes Normal Attack and Dash attack to 3-hit combos. The damage of each hit is adjusted to 40% of the original damage. The maximum stacks of Wound increase by 6.
Crossbow - Twin,Icon_LittleCrossbow,103,weapon,3,101,,,active,Weapon_0103_Name,Crossbow: Twin,석궁: 쌍둥이,"일반 공격은 두 발의 투사체를 발사하며, 공격 도중 조금 더 자유롭게 이동할 수 있습니다. 이동 속도 증가량만큼 발사 속도가 빨라집니다.",Normal Attack fires two projectiles and allows slightly more freedom of movement during the attack. Fire rate increases by the amount of Move Speed increase.
Dagger,Icon_Dagger_Tier1,20,weapon,1,,22 23 1200 1203 1206 1208 1212 1215,,active,Weapon_0020_Name,Dagger,단검,,
Dark Veil,Icon_Shuriken_Partner,1210,weapon,3,1206,,,active,Weapon_Dagger_Tier3_ThrowComp_Name,Dark Veil,흑막,"무기 공격 시, 지배 버프를 획득합니다.",Gain Dominate buff when using Weapon Attack
Default Sword and Shield,Icon_ShieldSword_Tier1,0,weapon,1,,1 2 3 1000 1004 1006 1013 1016 1024,,active,Weapon_0000_Name,Default Sword and Shield,표준 검과 방패,,
Destroyer,RedGreatClub,1116,weapon,,,,,active,WeaponGreatsword_RedClub_Name,Destroyer,파괴자,,
Distant Starlight,Staff_Special,509,weapon,2,500,510,,active,Weapon_0509_Name,Distant Starlight,먼 곳의 별빛,"특수 공격: 되받아치기의 피해량이 20% 증가합니다. 최대 MP가 100 이상인 경우, 특수 공격: 되받아치기 사용 중 모든 방향을 가드합니다.","Increase the damage of Special Attack: Riposte by 20%. If Max MP is at least 100, Block in all directions while using Special Attack: Riposte."
Divine Iron Staff,Staff_Extend,505,weapon,2,500,506 507,,active,Weapon_0505_Name,Divine Iron Staff,신진철곤,"무기 공격 시, 봉 늘리기 버프를 획득합니다.",Gain Extend Staff buff on Weapon Attack.
Dormant Frost,Dagger_IceMinor,1215,weapon,2,20,1216 1217,,active,Weapon_1215_Name,Dormant Frost,잠든 서리,"무기 공격의 피해량이 20% 감소하지만, 얼음속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 20%, but it is changed to Cold Damage."
Drifting Ash,Icon_ShieldSword_Tier3_C,6,weapon,3,2,,,active,Weapon_0006_Name,Drifting Ash,재의 휘날림,대시 공격 피해가 60% 증가합니다. 대시 경로의 적에게 대시 공격의 50% 피해를 입힙니다. (대시 횟수 소모 시 2배 피해),Dash Attack Damage increases by 60%. Deals 50% of Dash attack damage to enemies along the dash path. (Deals double damage when Dash Count is consumed.)
Drífa,Dagger_IceScythe,1217,weapon,3,1215,,,active,Weapon_1217_Name,Drífa,드리파,"아티팩트 눈보라 망치가 ‘눈보라 낫’으로 변경됩니다. 피해량이 50% 감소하지만, 조준 지점으로 날아가 적들을 지속 타격합니다.","Artifact Blizzard Hammer is changed to “Blizzard Scythe.” Damage is reduced by 50%, but it flies to the targeted location and continuously strikes enemies."
Eternal Frost Greatsword,Icon_GreatSword_Ice,1105,weapon,3,1104,,,active,WeaponGreatsword_Ice2_Name,Eternal Frost Greatsword,만년한검,"추가로 주는 얼음속성 피해가 30%에서 55%로 증가합니다. / 일반 공격 범위가 증가하고, 기본 콤보가 15% 더 빨라집니다. (전체 시간 기준)","Additional Cold Damage increases from 30% to 55%. / Normal Attack range increases, and basic combo becomes 15% faster (based on total time)."
Excallion,ShieldSword_GreenOnion,1019,weapon,3,1000,,,active,Weapon_GreenOnionSword_Name,Excallion,파 뿌리 검,"모든 속성 피해가 2씩 증가하고, 마법서 피해량이 15% 증가합니다.","Increases all elemental damage by 2, and Grimoire Damage is increased by 15%."
Famed Sword 'Muramasa',katana_Sheath_Speed,402,weapon,3,401,,,active,Weapon_0402_Name,Famed Sword 'Muramasa',명도 '무라마사',"상시 납도 상태가 되고, 특수 공격: 강베기가 특수 공격: 신속 베기로 변경됩니다. 공격 속도의 효율이 80% 증가합니다.","Always remains in Sheath state, and Special Attack: Heavy Slash changes to Special Attack: Swift Slash. The efficiency of Attack Speed is increased by 80%."
Fiaola’s Judgment Staff,Staff_Fire_Tier3Burn,518,weapon,3,517,,,active,Weapon_0518_Name,Fiaola’s Judgment Staff,피아올라 의사봉,"화상 부여 시 불의 고리를 만들어 10초간 5타일 내 적들을 공격합니다. (피해량: 0.5초당 화염속성 피해 40%, 화상 피해량에 따라 피해량이 증가)","On applying Burn, creates Ring of Fire and attacks enemies within 5 tiles for 10 seconds. (Damage: Fire Damage 40% per 0.5 seconds, damage increases with Burn Damage)"
Fire Dagger,Icon_Dagger_FireMinor,1200,weapon,2,20,1201 1214,,active,Weapon_FireDagger_Name,Fire Dagger,불꽃 단검,무기 공격 시 자신의 화염속성 피해의 25%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 25% of Fire Damage."
Flame Eater - Haetae,ShieldSword_FireHammer,1026,weapon,3,1024,,,active,Weapon_Haetae_Name,Flame Eater: Haetae,불먹는 해태,특수 공격: 휩쓸기가 일반 공격: 화염 강타로 변경됩니다.,Special Attack: Cleave changes to Normal Attack: Flame Strike
Flashing Rapier,Icon_Rapier_Tier3_ALong,1007,weapon,3,1006,,,active,Weapon_RapierWide_Name,Flashing Rapier,섬광의 레이피어,찌르기 범위가 더 길어집니다. 공격 속도가 20% 증가합니다.,Extends thrusting range. Increases Attack Speed by 20%.
Flourish Staff,Staff_Rolling,501,weapon,2,500,502 503,,active,Weapon_0501_Name,Flourish Staff,화곤봉,일반 공격이 일반 공격: 화곤으로 변경됩니다.,Normal Attack changes to Normal Attack: Flower Staff
Formless Dance,StaffThrow_Evade,531,weapon,3,529,,,active,Weapon_0531_Name,Formless Dance,무형의 춤,"일반 공격이 적을 유도하고, 일정 확률로 두 번 발사됩니다. (회피 1당 1% 증가)",Normal Attack lures enemies and has a chance to fire twice. (Increases by 1% per 1 Evasion)
Fragment of Nastrond,katana_Ice_IceSpear,421,weapon,3,419,,,active,Weapon_0421_Name,Fragment of Nastrond,나스트론드의 조각,태클 직후 공격 시 얼음 무구: 스카디를 발동합니다.,"After a Tackle action, it activates Frost Relic: Skaði when attacking."
Frost Shard,Icon_ShieldSword_MinorIce,1013,weapon,2,0,1014 1015 1029,,active,Weapon_Ice2_Name,Frost Shard,서릿빛 조각,얼음속성 피해가 5 증가합니다.,Cold Damage increases by 5.
Frostbound Greatsword,Icon_GreatSword_Ice_Minor,1104,weapon,2,10,1105 1106 1114,,active,WeaponGreatsword_Ice_Name,Frostbound Greatsword,한기가 서린 대검,무기 공격 시 자신의 얼음속성 피해의 30%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 30% of Cold Damage."
Frozen Fury,Icon_ShieldSword_Tier3_B,5,weapon,3,1,,,active,Weapon_0005_Name,Frozen Fury,차가운 분노,퍼펙트 가드 성공 시 14초간 모든 피해 증폭이 20% 증가합니다.,"On Perfect guard success, Universal Damage Boost increases by 20% for 14 seconds."
Frozen Smelt,Dagger_IceFish,1216,weapon,3,1215,,,active,Weapon_1216_Name,Frozen Smelt,냉동 빙어,"얼음속성 피해가 5 증가하고, 특수 공격 적중 시 동상을 2회 부여합니다.","Cold Damage increases by 5, and on hit with Special Attack, applies Frostbite 2 times."
Fuarsca Spear,Staff_Spear_Tier3Dash,515,weapon,3,513,,,active,Weapon_0515_Name,Fuarsca Spear,돌격창 푸아르스카,대시 공격: 창격 시전 시 가드가 부여되고 직전에 사용한 대시 1당 피해량이 30% 증가합니다. (최대 6회),"Block granted when casting Dash attack: Spear Attack, and damage increases by 30% for each Dash used previously. (Up to 6 times)"
Gaze of Flames,Icon_ShieldStaff_Fire,1008,weapon,3,1004,,,active,Weapon_FireWand_Name,Gaze of Flames,화염의 시선,무기 공격이 화염속성 피해 기반으로 변경됩니다. 일반 공격의 피해량이 20% 증가합니다.,Weapon Attack changes to be based on Fire Damage. Normal Attack damage increases by 20%.
Georoid Spear,Staff_Spear,513,weapon,2,500,514 515,,active,Weapon_0513_Name,Georoid Spear,돌격창 기오로이드,일반 공격: 창격과 대시 공격: 창격을 사용할 수 있습니다.,You can use Normal Attack: Spear Thrust and Dash attack: Spear Attack.
Giant Construction Hammer,Icon_BuildHammer,5000,weapon,,,,,active,Weapon_5000_Name,Giant Construction Hammer,건설용 거대 망치,,
Glacial Blade,Icon_ShieldSword_Ice,1014,weapon,3,1013,,,active,Weapon_Ice3_Name,Glacial Blade,빙하의 칼날,"아티팩트 축사의 검집의 투사체가 작아지지만, 50% 빨리 충전됩니다.","Artifact Scabbard of Exorcism's projectile becomes smaller, but charges 50% faster."
Greatsword of Exorcism,GreatSword_Ice_Scabard,1114,weapon,3,1104,,,active,WeaponGreatsword_IceExo_Name,Greatsword of Exorcism,축사의 대검,"아티팩트 축사의 검집으로 주는 피해가 33% 증가하고, 15% 빨리 충전됩니다.",Increase damage dealt by Artifact Scabbard of Exorcism by 33% and charge 15% faster.
Grip of Fear,Icon_ShieldSword_Tier3_F,9,weapon,3,3,,,active,Weapon_0009_Name,Grip of Fear,조여오는 공포,3초마다 '공포 고조'를 1스택 획득합니다. (최대 10스택) / 공격 속도에 비례하여 스택 획득 속도가 증가합니다.,"Every 3 seconds, gain 1 stack of 'Rising Dread'. (Max 10 stacks) / Stack gain rate increases in proportion to Attack Speed."
Guardian’s Return,Icon_ShieldSword_Tier3_E,8,weapon,,,,,active,Weapon_0008_Name,Guardian’s Return,회귀하는 수호,,
Harsh Trial,Icon_Dagger_Tier3_F,29,weapon,3,23,,,active,Weapon_0029_Name,Harsh Trial,어려운 실험,더 이상 특수 공격: 패리를 사용할 수 없지만 무기 공격 시 30% 확률로 몰입을 획득합니다. (몰입은 4회까지 충전 가능),"You can no longer use Special Attack: Parry, but have a 30% chance to gain Trance when using Weapon Attack. (Trance can be charged up to 4 times)"
Heart of the Nebula,Staff_Special_Tier3Rush,511,weapon,,,,,active,Weapon_0511_Name,Heart of the Nebula,성운의 심장,,
Heated Blade,Icon_Dagger_Fire,1201,weapon,3,1200,,,active,Weapon_FireDagger2_Name,Heated Blade,달궈진 칼날,특수 공격: 패리가 특수 공격: 단검 투척으로 변경됩니다.,Special Attack: Parry is replaced with Special Attack: Throw Dagger.
Heidi,katana_Fire_Dash,408,weapon,3,406,,,active,Weapon_0408_Name,Heidi,하이디,"대시 횟수 소모 시 '오버히트' 스택을 획득합니다. (기본 1, 납도 시 3 획득, 최대 9회) 일반 공격 시 스택을 소모합니다.","When consuming Dash Count, gain 'Overheat' stacks. (1 by default, gain 3 when using Sheath, up to 9 times) Consumes stacks when using Normal Attack."
Helbanus,katana_Fire_Tier2,406,weapon,2,400,407 408 422,,active,Weapon_0406_Name,Helbanus,헬바누스,무기 공격 시 자신의 화염속성 피해의 30%만큼 추가 피해를 가합니다.,"When performing a Weapon Attack, deal additional damage to the target equal to 30% of Fire Damage."
Hoe,Hoe,5002,weapon,,,,,active,Weapon_5002_Name,Hoe,괭이,,
Homi,Homi,5001,weapon,,,,,active,Weapon_5001_Name,Homi,호미,,
Hypersensitivity,Icon_GreatSword_Tier2_A,11,weapon,2,10,14 15 1111,,active,Weapon_0011_Name,Hypersensitivity,과민성,"특수 공격: 소용돌이의 피해량이 20%, 충전 속도가 50% 증가합니다.",Damage from Special Attack: Whirlwind increases by 20% and its charge speed increases by 50%.
Icicle Sword,Icon_GreatSword_Ice_Freeze,1106,weapon,3,1104,,,active,WeaponGreatsword_Ice2_Freeze_Name,Icicle Sword,고드름 검,무기 공격 시 80%의 확률로 동상을 부여합니다. 빙결의 피해량이 20% 증가합니다.,Weapon Attack has a 80% chance to inflict Frostbite. Increases Freeze damage by 20%.
Ilonica's Spirit Staff,Staff_Rolling_Tier3Bolt,503,weapon,3,501,,,active,Weapon_0503_Name,Ilonica's Spirit Staff,정령융합봉 일로니카,모든 마법서 직접 시전이 불가능해집니다. 일반 공격: 화곤이 마법서: 볼트 난사로 변경됩니다.,Cannot directly cast any Grimoire. Normal Attack: Flower Staff changes to Grimoire: Bolt Barrage.
Incendium,ShieldSword_FireMinor,1024,weapon,2,0,1025 1026,,active,Weapon_Incendium_Name,Incendium,인센디움,"무기 공격의 피해량이 15% 감소하지만, 화염속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 15%, but it is changed to Fire Damage."
Indomitable,Icon_ShieldSword_Tier3_D,7,weapon,3,2,,,active,Weapon_0007_Name,Indomitable,무고원,"일반 공격 피해가 33% 증가하지만, 더 이상 특수 공격: 휩쓸기를 사용할 수 없습니다.","Increases Normal Attack Damage by 33%, but Special Attack: Cleave can no longer be used."
Jade Vestige,Dagger_EvadeT2,1208,weapon,2,20,1209,,active,Weapon_1208_Name,Jade Vestige,옥빛 잔영,"더 이상 특수 공격: 패리를 사용할 수 없지만, 2.8초마다 몰입을 획득합니다. (회피 1당 충전 속도 1% 증가, 최대 33%)","You can no longer use Special Attack: Parry, but gain Trance every 2.8 seconds. (1% increased charge rate per Evasion, up to 33%)"
Javelin,StaffThrow_Tier2,529,weapon,2,500,530 531 532,,active,Weapon_0529_Name,Javelin,투창,"일반 공격이 일반 공격: 투창으로 변경되고, 무기 피해량이 10 증가합니다.","Normal Attack changes to Normal Attack: Throwing Spear, and Weapon Damage increases by 10."
Kagumede,Crossbow_PoisonMinor,119,weapon,2,100,120 121,,active,Weapon_0119_Name,Kagumede,카구메데,대상을 공격하여 중독 디버프를 부여합니다.,Attacks the target and inflicts Poison.
Kalim's Form,Crossbow_PoisonJelly,120,weapon,3,119,,,active,Weapon_0120_Name,Kalim's Form,카림의 형상,"헤이타의 영혼 가루, 테로의 영혼 가루, 아마드의 영혼 가루가 두 번 공격하고, 주는 피해량이 25% 증가합니다.","Heita’s Spirit Powder, Tero’s Spirit Powder, Ahmad’s Spirit Powder attack twice and deal 25% more damage."
Lazarion,GreatSword_Laser_Amethyst,1120,weapon,3,17,,,active,WeaponGreatsword_PurpleCompanion_Name,Lazarion,라자리온,특수 공격: 소용돌이가 특수 공격: 자수정 소환으로 변경됩니다.,Special Attack: Whirlwind is changed to Special Attack: Amethyst Conjuration.
