file,sprite,id,kind,group,max_quantity,prices,status,name_key,name_en,name_ko,desc_en,desc_ko,unlock_en,unlock_ko
Increase HP [312],TreeIcon_HP,312,treeshop,0,2,4 7,active,TreeShopItem_HP1_Name,Increase HP,HP 증가,Increases .,가 증가합니다.,Increases  by 5.,가 5 증가합니다.
Dice [313],TreeIcon_DiceP,313,treeshop,1,2,5 8,active,TreeShopItem_RerollDice2_Name,Dice,주사위,The number of starting dice increases.,시작 주사위 개수가 증가합니다.,The number of starting dice is increased by 1.,시작 주사위 개수가 1개 증가합니다.
Side Bag,TreeIcon_InventoryExtra,314,treeshop,1,3,2 3 4,active,TreeShopItem_SubBag_Name,Side Bag,보조 가방,Gain a Side Bag.,보조 가방을 획득합니다.,Gain 1 Side Bag slot.,보조 가방을 1칸 획득합니다.
Side Bag [315],TreeIcon_InventoryExtra,315,treeshop,1,3,2 3 4,active,TreeShopItem_SubBag_Name,Side Bag,보조 가방,Gain a Side Bag.,보조 가방을 획득합니다.,Gain 1 Side Bag slot.,보조 가방을 1칸 획득합니다.
New Artifacts,TreeIcon_Artifact,1000,treeshop,0,1,5,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1001],TreeIcon_Artifact,1001,treeshop,0,1,8,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1002],TreeIcon_Artifact,1002,treeshop,0,1,7,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1003],TreeIcon_Artifact,1003,treeshop,0,1,10,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1004],TreeIcon_Artifact,1004,treeshop,0,1,10,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1005],TreeIcon_Artifact,1005,treeshop,0,1,11,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
Bond Artifact,TreeIcon_DuoArtifact,1006,treeshop,0,1,3,active,TreeShopItem_NewCharm_Bond_Name,Bond Artifact,결속 아티팩트,Unlock the Bond Artifact.,결속 아티팩트를 잠금 해제합니다.,A new artifact that connects multiple combos throughout the tower appears.,탑 전역에 여러 콤보를 연결하는 새로운 아티팩트가 등장합니다.
New Artifacts [1007],TreeIcon_Artifact,1007,treeshop,0,1,8,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Artifacts [1008],TreeIcon_Artifact,1008,treeshop,0,1,8,active,TreeShopItem_NewCharm_Group3_Name,New Artifacts,신규 아티팩트,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items,TreeIcon_Artifact,2000,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2001],TreeIcon_Artifact,2001,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2002],TreeIcon_Artifact,2002,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2003],TreeIcon_Artifact,2003,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2004],TreeIcon_Artifact,2004,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2005],TreeIcon_Artifact,2005,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2006],TreeIcon_Artifact,2006,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2007],TreeIcon_Artifact,2007,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2008],TreeIcon_Artifact,2008,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
New Items [2009],TreeIcon_Artifact,2009,treeshop,5,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
Root's Retreat,TreeIcon_Hard,3000,treeshop,3,1,0,active,UI_HardModePanel_Title,Root's Retreat,뿌리거둠,You can harness the power of the Tree.,나무의 힘을 거둘 수 있습니다.,You can harness the power of the Tree.,나무의 힘을 거둘 수 있습니다.
New Items [3001],TreeIcon_Artifact,3001,treeshop,3,1,0,active,TreeShopItem_NewCharm_Common_Name,New Items,신규 아이템,New items will appear.,새로운 아이템이 등장합니다.,New items will appear all around the tower.,탑 전역에 새로운 아이템이 등장합니다.
